,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
62,Jodhpur to Ajmer,Maruti Travels Balotra,NON AC Seater / Sleeper 2+1,12:28,17:04,04h 36m,INR 585,34 Seats available,2.6
63,Jodhpur to Ajmer,Kalpana Travels Pvt. Ltd.,AC Sleeper (2+1),13:15,18:30,05h 15m,INR 650,30 Seats available,2.8
64,Jodhpur to Ajmer,Jain travels regd,A/C Seater / Sleeper (2+1),14:00,18:00,04h 00m,INR 430,40 Seats available,2.5
65,Jodhpur to Ajmer,M R Travels,A/C Seater / Sleeper (2+1),14:30,19:15,04h 45m,INR 550,35 Seats available,1.2
66,Jodhpur to Ajmer,Salasar vaishnav travels,A/C Seater / Sleeper (2+1),14:30,20:00,05h 30m,INR 500,38 Seats available,No rating
67,Jodhpur to Ajmer,Choudhary travels and cargo,A/C Seater / Sleeper (2+1),15:00,19:30,04h 30m,INR 600,28 Seats available,1.9
68,Jodhpur to Ajmer,M R Travels,A/C Seater / Sleeper (2+1),15:30,20:00,04h 30m,INR 500,35 Seats available,1.2
69,Jodhpur to Ajmer,Jain travels regd,NON A/C Sleeper (2+1),16:00,21:10,05h 10m,INR 700,30 Seats available,2.5
70,Jodhpur to Ajmer,Jain travels regd,NON AC Seater/ Sleeper (2+1),17:00,22:55,05h 55m,INR 330,42 Seats available,2.5
71,Jodhpur to Ajmer,CHANDRA RAJ TRAVELS,A/C Seater / Sleeper (2+1),18:15,22:45,04h 30m,INR 500,40 Seats available,1.0
72,Jodhpur to Ajmer,M R Travels,NON A/C Seater/ Sleeper (2+1),18:30,23:40,05h 10m,INR 450,41 Seats available,1.2
73,Jodhpur to Ajmer,RR Travels,A/C Seater / Sleeper (2+1),18:55,02:10,07h 15m,333,41 Seats available,2.2
74,Jodhpur to Ajmer,RR Travels,A/C Seater / Sleeper (2+1),18:55,01:15,06h 20m,475,41 Seats available,2.2
75,Jodhpur to Ajmer,Jain travels regd,NON AC Seater / Sleeper 2+1,19:00,23:50,04h 50m,INR 330,42 Seats available,2.5
76,Jodhpur to Ajmer,CHANDRA RAJ TRAVELS,A/C Seater / Sleeper (2+1),19:00,01:30,06h 30m,INR 409.52,41 Seats available,1.0
77,Jodhpur to Ajmer,Ashok Travels and Cargo,A/C Seater/Sleeper (2+1),19:30,01:00,05h 30m,INR 500,39 Seats available,2.0
78,Jodhpur to Ajmer,Laxmi traveller,A/C Seater / Sleeper (2+1),20:15,01:10,04h 55m,INR 600,22 Seats available,2.2
79,Jodhpur to Ajmer,Jain travels regd,NON AC Seater / Sleeper 2+1,20:30,01:30,05h 00m,INR 330,48 Seats available,2.5
80,Jodhpur to Ajmer,Jai Shankar Travels,NON AC Seater / Sleeper 2+1,21:00,01:30,04h 30m,INR 350,38 Seats available,2.6
81,Jodhpur to Ajmer,Kalpana Travels Pvt. Ltd.,NON AC Seater / Sleeper 2+1,21:30,02:45,05h 15m,INR 450,34 Seats available,2.8
82,Jodhpur to Ajmer,Kalpana Travels Pvt. Ltd.,NON AC Seater / Sleeper 2+1,21:30,02:40,05h 10m,INR 450,34 Seats available,2.8
83,Jodhpur to Ajmer,Laxmi traveller,NON A/C Seater/ Sleeper (2+1),21:50,02:20,04h 30m,INR 330,14 Seats available,2.2
84,Jodhpur to Ajmer,CHANDRA RAJ TRAVELS,A/C Seater / Sleeper (2+1),22:00,02:30,04h 30m,INR 500,42 Seats available,1.0
85,Jodhpur to Ajmer,Jain travels regd,NON AC Seater / Sleeper 2+1,22:00,02:51,04h 51m,INR 330,42 Seats available,2.5
86,Jodhpur to Ajmer,Jakhar Travels,A/C Seater / Sleeper (2+1),22:00,02:30,04h 30m,INR 500,35 Seats available,2.9
87,Jodhpur to Ajmer,Laxmi traveller,A/C Seater / Sleeper (2+1),22:00,03:05,05h 05m,INR 580,32 Seats available,2.2
88,Jodhpur to Ajmer,Gajraj Travels,A/C Sleeper (2+1),22:00,03:10,05h 10m,INR 650,34 Seats available,2.5
89,Jodhpur to Ajmer,M R Travels,A/C Seater / Sleeper (2+1),22:00,02:15,04h 15m,INR 500,34 Seats available,1.2
90,Jodhpur to Ajmer,Laxmi traveller,A/C Seater / Sleeper (2+1),22:05,02:30,04h 25m,INR 430,32 Seats available,2.2
91,Jodhpur to Ajmer,Jain travels regd,AC Sleeper (2+1),22:30,02:20,03h 50m,INR 650,36 Seats available,2.5
92,Jodhpur to Ajmer,CHANDRA RAJ TRAVELS,NON AC Seater / Sleeper 2+1,22:30,02:50,04h 20m,INR 500,40 Seats available,1.0
93,Jodhpur to Ajmer,M R Travels,A/C Seater / Sleeper (2+1),22:45,02:25,03h 40m,INR 500,40 Seats available,1.2
